professionName,professionEnglishName,agricultureOrForestryRelated,manualLabor,education,SESgroup1989,occupationCategory,socialClassRank
kunnansihteeri,municipal secretary,0,0,1,,1,3
leipurimestari,master baker,0,0,0,,6,3
maanviljelysteknikko,agricultural technician,1,0,1,,3,3
osastosihteeri,department Secretary,0,0,1,,1,2
painaja,works for printing press,0,,,4,6,4
panimotyöntekijä,brewery worker,0,,0,,6,6
rajavääpeli,border Warrant Officer,0,0,,,8,3
suntio,Maintenance man for church,0,1,0,,0,7
talollisen tytär,freeholders daughter,,,0,,3,
tilanomistaja,owner of farmland,1,,0,,3,3
ajuri,driver,0,0,0,,5,6
kuljetusmies,transport man,0,0,0,,5,6
kulkukauppias,travelling salesman,0,0,,4,2,3
laskuttaja,Invoicer,0,0,,3,2,3
metallityöläinen,metal worker,0,1,0,,6,5
puhelunvälittäjä,telephonist,0,0,0,,1,5
teollisuusompelija,industrial seamstress,0,1,0,,6,5
teurastaja,butcher,0,1,0,,6,5
toimitsija,official,,0,,,0,3
aputyöntekijä,helper for work,,,,,6,7
dipl.kauppias,certified salesman,0,0,,4,2,3
hankintamies,procurer,0,0,,3,2,2
hinnoittelija,labellers,,0,0,,2,6
karjantarkkailija,Like shepherd but for cattle?,1,0,0,5,3,7
katsastaja,examiner,1,0,1,,6,3
kattilaseppä,Made boilers for steam engines,0,1,0,5,6,4
konepesijä,machine washer,0,1,0,,6,7
konttorikonemekaanikko,office machine mechanic,,,0,,6,5
lääket.lis,Higher degree in medicine (more than a master's less than a doctorate,0,0,1,3,0,2
lasinleikkaaja,glass cutter,,,0,,6,5
laturi,charger,,,,,4,
lautatarhatyömies,lumberyard worker,,1,0,,6,6
maanmittausinsinööri,surveyor,,0,1,,0,4
mainospiirtäjä,commercial artist,,0,,,0,3
mittausteknikko,measurement technician,,0,1,,6,3
osuuskassanjohtaja,share of cash Director,0,0,,,2,2
rasvaaja,greaser,0,1,0,,6,
ravintolan kassa,restaurant cashier,0,0,0,,2,6
sementtityöläinen,cement worker,0,1,0,,6,6
topografi,topographer,0,0,,,6,3
työmestari,work manager,0,0,,3,6,3
uunimies,oven man,,,,,6,6
vastaanottoapulainen,receptionist,0,0,0,,8,5
voitelija,oiler,0,,,,6,6
vuoromestari,shift Foreman,0,0,,,6,4
jaostopäällikkö,Head of Division,0,0,,,1,3
karjatalousteknikko,livestock technician,1,0,,,3,3
sosiaalipäällikkö,Social Manager,0,0,,,1,3
ylitarkastaja,inspector general,,0,,,1,3
asutustilallinen,asutustilallinen ?? (settler on a farm?),1,1,0,,3,5
kioskikauppias,kiosk merchant,0,0,0,,2,6
lääkäri,doctor,0,0,1,2,0,1
lääketyöntekijä,Medicines employee,0,0,1,4,0,3
luontaishoitaja,natural healer (naturopath),0,0,,2,8,4
maisteri,Master of Arts,0,0,1,,0,3
palomestari,fire chief,0,0,0,3,8,3
paperikoneenhoitaja,paper machine attendant,0,1,0,5,6,6
pienvilj,pienvilj,,,,,3,
taksiautoilija,taxi driver,0,0,0,5,5,6
autonkulj,chauffeur,0,0,0,5,5,6
einestyöntekijä,ready prepared food preparer,0,0,0,5,6,6
haudankaivaja,gravedigger,0,1,0,5,8,7
merkantti,Certificate in Business Administration,0,0,1,3,2,3
neuloja,needles,,,,,6,
rva,Mrs,,,,,,
tehtaantyömies,factory laborer,0,1,0,5,6,6
tiemestari,road inspectors,0,0,0,3,0,4
aluetarkastaja,regional inspector,0,0,,3,0,3
annostelija,dispenser,0,0,,,6,
asiamies,agent,0,0,,,0,3
askarteluohjaaja,crafting instructor,0,0,1,,0,5
baarimyyjä,bar seller,0,0,,,8,4
erikoishammasteknikko,special dental technician,0,0,1,,0,3
eversti evp,Colonel ret,0,0,1,,8,1
käämijä,coiler,,,,,6,
kansalaiskoulun opettaja,Civil school teacher,0,0,1,,0,2
karjanostaja,cattle buyer,1,0,,,2,2
karstaaja,"textile industry, prepares different fabrics so they can be combined (e.g., cotton and nylon)",0,0,0,5,4,5
kerhoneuvoja,club advice,0,0,,,0,4
kersantti evp,Sergeant retired,0,0,0,,8,4
koneapulainen,machine helper,0,,0,5,6,7
konelatoja,machine loader,,,,5,6,7
kortistonhoitaja,card manager?,0,0,,3,1,3
kumityöläinen,rubber worker,0,1,0,5,6,7
kunnalliskodin johtajatar,senior's home manager (female),0,0,0,3,1,3
liikkeenomistaja,business owner (entrepreneur),0,0,,2,2,1
maalaiskirjeenkantaja,"Mailman, but only regular mail. Not allowed to take valuable mail",0,0,0,4,8,6
maataloustyöläinen,agricultural worker,1,1,0,5,3,7
mainospäällikkö,advertising Manager,0,0,1,3,2,2
makeistyöntekijä,confectionery employee,0,0,0,5,6,5
metallipuristaja,Metal presser,0,1,0,5,6,6
metsätyöläinen,forest worker,1,1,0,5,3,5
mittariasentaja,meter installer,0,1,0,5,6,4
päätoimittaja,editor in chief,0,0,1,2,0,1
raidemies,railway man,0,,0,4,5,5
remonttimies,decorator,0,0,0,4,6,4
ruokalanemäntä,canteen hostess,0,0,0,5,8,6
saarnaaja,Preacher,0,0,,2,0,3
sähkömestari,electric officer,0,0,,3,6,3
sotilaskotisisar,soldier's sister,,,,,8,
tallimies,stableboy,1,1,0,5,3,6
tehtaan edustaja,factory representative,0,0,,3,2,3
tiilenpolttaja,brick maker,0,1,0,5,6,6
ulosottomies,the bailiff,0,0,,4,1,4
vanhaisäntä,old host,,,,,3,
vesilaitoksen hoitaja,the water utility manager,0,0,,3,1,3
ylietsivä,police seargent,0,0,,4,8,3
ylipursimies evp,retired chief petty officer,0,0,,4,8,3
yövahti,night watch,0,0,0,4,8,6
varanotaari,Vice Notari,0,0,1,4,1,3
apulaisesimies,assistant manager,0,0,,3,0,3
asetinlaitemies,railway switch operator,0,0,0,5,6,5
filosofian kandidaatti,Bachelor of Arts,0,0,1,,0,3
hammasteknikko,dental technician,0,0,1,4,0,3
hoitaja,nurse,0,0,1,4,0,3
kanttoriurkuri,cantor organist,0,0,,,0,3
konepiirtäjä,machine drawer ??,,,,5,6,6
kunnalliskodin johtaja,Director of the municipal home,0,0,,3,1,2
liikkeenharj,entrepreneur,0,0,,2,2,2
maansiirtourakoitsija,earthmoving Contractor,,0,1,,5,4
mallipuuseppä,Design carpenter,0,0,,,6,3
paalaaja,catches ??,,,,,3,
postivirkamies,postal official,0,0,,4,1,4
pumppumies,pump man,0,,0,,6,5
savenvalaja,potter,0,,0,5,0,4
sikalanhoitaja,the pig farm manager,1,0,,4,3,3
yliluutnantti,First Lieutenant,0,0,1,4,8,3
hammashoitaja,dental hygienist,0,0,1,4,0,4
huoltopäällikkö,quartermaster,0,0,0,4,,
kivimies,stone man,0,,0,5,6,6
lasityöläinen,glass worker,0,1,0,5,6,5
meijerityöntekijä,dairy worker,1,1,0,5,6,6
metallityöntekijä,metal worker,0,1,0,5,6,6
nahkuri,tanner,,1,0,5,6,6
satulaseppä,saddler,1,1,0,5,6,7
tekstiilityöntekijä,textile worker,0,1,0,5,6,6
työntekijä,worker,,1,0,5,6,7
apulaisnimismies,assistan police chief ??,0,0,,4,8,3
apulaisvahtimestari,apulaisvahtimestari ??,,,,,8,
huoltoasemanhoitaja,gas station attendant,0,0,0,5,2,7
kapellimestari,conductor,0,0,0,5,0,3
kiillottaja,polisher,0,1,0,5,6,5
konekaavaaja,konekaavaaja ??,,,,,6,
konepajatyömies,engineering laborer ??,0,,1,,6,5
laboratoriomestari,laboratory Technician,0,0,1,4,0,4
laivapuuseppä,ship carpenter,0,1,0,5,6,4
lennätinvirkailija,telegrapher,0,0,1,5,1,4
lentomekaanikko,flight engineer,0,0,1,4,6,3
liiketyöntekijä,business worker ??,0,0,1,4,2,3
lyijyseppä,lead blacksmith,,1,0,4,6,4
maanviljalijä,maanviljalijä ??,1,,,,3,
maanviljelkalastaja,maanviljelkalastaja ??,1,,,,3,
maatalouskerhoneuvoja,agricultural club advice ??,1,,,,3,
metallijyrsijä,metallijyrsijä ??,,,,,6,
metsäpiirimies,Forestry circuit man,1,0,,,3,4
myyntitarkastaja,sales inspector,0,0,1,4,2,3
osuuskassan johtaja,Share of Fund director ?,,0,,3,2,2
paikkaaja,patch up ??,,,,,6,
panimotyöläinen,brewery worker,0,,0,5,6,6
polttaja,smoker ??,,,,5,6,
postiekspeditööri,postiekspeditööri ??,,,,,1,
puristaja,a presser,0,,0,5,6,
purkaja,wrecker ??,0,,0,,6,
putkieristäjä,putkieristäjä ??,,,,,6,
puuseppämestari,master carpenter,0,1,,5,6,4
puutarhatyöl,puutarhatyöl ??,,,,,3,
rahastonhoitaja,treasurer,0,0,1,3,2,3
ravintolanemäntä,restaurant hostess,0,0,0,5,8,6
ravintolatyöläinen,restaurant worker,0,0,0,5,8,7
somistaja,decorators,0,0,0,5,2,3
taaplaaja,taaplaaja ??,,,,,6,
tehdassiivooja,factory cleaner,0,1,0,5,6,6
telakkatyömies,dock laborer,0,1,0,5,6,6
vaatturimestari,vaatturimestari ??,,,,,6,
valimotyöläinen,foundry worker,0,1,0,5,6,6
valimotyömies,foundry laborer,0,1,0,5,6,6
varaosapäällikkö,spare parts Manager,0,0,,3,6,4
verosihteeri,Secretary of tax,0,0,1,3,1,3
veturinasentaja,locomotive fitter,0,1,0,5,6,5
viinikassa,wine cash,0,0,,,2,
ylivahtimestari,the head janitor,0,1,0,4,8,4
ylilääkäri,senior physician,0,0,1,2,0,1
rakennustyönjohtaja,construction manager,0,0,,3,0,2
aarporaaja,aarporaaja ??,,,,,6,
hortonomi,horticulturist,1,0,1,4,3,2
karkaisija,karkaisija ??,,,,,6,
lasinpuhaltaja,glassblower,0,1,0,,6,4
matkatoimistovirkailija,travel agent,0,0,,4,2,3
radiotyöntekijä,radio employee,0,0,0,4,0,4
veneenrakentaja,boat builder,0,1,0,5,6,4
viimeistelijä,finisher,0,1,0,,6,4
dipl.kosmetologi,make up ???,,0,,,0,
käyttömies,use of man ??,,,,,6,
kirjapainotyöläinen,pressman,0,,0,,6,5
kokki,cook,0,0,0,5,8,5
koneistaja,machinist,0,1,0,5,6,6
liikunnanohjaaja,physical education,0,0,,,0,4
metallihioja,metallihioja ??,,,,,6,
prosessimies,processer,0,,0,5,6,4
sahatyöntekijä,sawmill worker,0,1,0,5,6,5
siistijä,Cleaner,0,1,0,5,8,6
ammattiautoilija,professional driver,0,0,0,5,5,5
apulaispäällikkö,Deputy Head,0,0,,3,1,2
dir.cant,dir.cant ??,,,,,,
esittelijä,demonstrator ??,,,,,2,
hakunhoitaja,hakunhoitaja ??,,,,,6,
harjansitoja,harjansitoja ??,,,,,6,
hum.kand,hum.kand ??,,,,,0,
johtajatar,headmistress,0,0,,,1,
kaavaaja,kaavaaja ??,,,,,,
kahvilanhoitaja,cafe attendant,0,0,,5,8,7
kaivostyönjohtaja,mining foreman,0,0,,4,0,3
keittolanhoitaja,keittolanhoitaja ??,,,,,8,
kerrossiivooja,floor cleaner,0,1,0,5,8,6
kiinteistönomistaja,property owner,,0,,2,,2
kirjakaupanhoitaja,bookstore manager,0,0,,4,2,3
kuivaamonhoitaja,kuivaamonhoitaja ??,,,,,6,
kunnanjohtaja,the mayor,0,0,,3,1,1
kuvanveistäjä,sculptor,0,0,,,0,3
lääkepakkaaja,lääkepakkaaja ??,,,,,6,
laattamies,tile man,0,1,0,5,6,5
lakkityöntekijä,hat worker,0,1,0,5,6,5
lasittaja,glazier ??,,,,,6,
lastenkodin johtaja,director of children's home,0,0,,3,1,2
laulajatar,songstress,0,0,,,0,3
lautatarhatyöläinen,lumberyard worker,,1,0,5,6,6
maanmittausteknikko,land survey technician,1,0,1,4,6,3
maanviljelautoilija,maanviljelautoilija ??,,,,,3,
maanviljelyä,farming,1,1,0,,3,6
maatalousneuvoja,land surveyor,1,0,1,4,3,3
mainoshoitaja,advertising manager,0,0,1,3,2,2
mallimestari,model champion ??,,,,,6,
mattomies,carpet man,0,1,0,5,6,5
meijerityöläinen,dairy worker,1,1,0,5,6,6
myymälän esimies,store supervisor,0,0,,4,2,3
näyttämömestari,stage manager,0,0,,4,0,3
niputtaja,stacker,,1,0,5,6,6
päivystäjä,duty officer,0,0,,4,,3
paperinleikkaaja,paper cutter,0,1,0,5,6,6
parturimestari,master barber,0,0,,5,8,5
puistotyöläinen,park worker,,,0,5,3,5
punnitsija,"weighers,",0,1,0,5,6,6
putkenlaskija,pipelayers,0,1,0,5,6,6
putkiurakoitsija,The plumbing contractor,0,,0,5,6,5
puutyömies,puutyömies ??,,,,,6,
radiomekaanikko,radio mechanic,0,,,,6,5
radiosähköttäjä,radio operator,0,0,,,0,4
radiotyöläinen,radio worker,0,0,0,,6,4
rajavääpeli evp,limit sergeant major retired,0,0,1,3,8,3
ravintola apulainen,Restaurant assistant,0,0,0,5,8,5
sahanasentaja,saw fitter,0,1,0,5,6,5
sähköyliasentaja,sähköyliasentaja ??,,,,,6,
sairaalan emäntä,the hospital mistress ??,,,,,8,
talonemäntä,lady of the house ??,,,,,,
täyttäjä,filler,0,,0,5,6,5
tehtaantyöl,tehtaantyöl ??,,,,,6,
teroittaja,grinder,,1,0,5,6,5
tislaaja,distiller,0,1,0,5,6,5
työkalusorvaaja,työkalusorvaaja ??,,,,,6,
työnopastaja,Work guidance counselors,0,0,1,4,,4
valokuvauslaborantti,valokuvauslaborantti ??,,,,,0,
valunpuhdistaja,valunpuhdistaja ??,,,,,6,
vanerisorvaaja,vanerisorvaaja ??,,,,,6,
vanhainkodin johtaja,Director of nursing home,0,0,1,1,1,3
vanhempi vartija,senior guard,0,0,0,4,8,5
varikkomies,pit man,0,1,0,5,5,6
värjääjä,dyer,0,1,0,5,6,6
venemestari,boat master ??,0,1,,,6,3
veturinpuhdistaja,veturinpuhdistaja ??,,,,,6,
vkonstaapeli,vkonstaapeli ??,,,,,8,
lääninrovasti,the county provost,0,0,1,3,0,3
diakoni,deacon,0,0,,3,0,3
kansak.op,kansak.op ??,,,,,0,
sahanomistaja,sawmill owner,,0,,2,2,2
talousjohtaja,Chief Financial Officer,0,0,1,2,1,1
vanhempi lehtori,senior lecturer,0,0,1,3,0,1
verojohtaja,tax Director,0,0,1,3,1,1
autoteknikko,automotive technician,0,,0,5,6,4
dieselasentaja,diesel fitter,0,1,,5,6,5
erityisopettaja,special needs ??,,,,,0,
etsivä,detective,0,0,1,4,8,3
hevosvalmentaja,horse coach (trainer??),1,0,,,3,5
kielenkääntäjä,translator,0,0,1,4,0,3
kumityöntekijä,rubber worker,0,1,0,5,6,6
Liikkeenjohtaja,manager,0,0,,3,2,3
maatalousteknikko,agricultural technician,1,0,1,4,3,3
metsänhoidonneuvoja,forestry advice,1,0,,3,3,3
metsänhoitoneuvoja,forestry advice,1,0,,3,3,3
metsätalousneuvoja,forestry advice,1,0,,3,3,3
myyntijohtaja,Sales Director,0,0,,3,2,3
ostaja,buyer,0,0,,3,2,2
puutarhaopettaja,garden teacher,0,0,1,4,3,3
rajavartija,border guard,0,0,0,5,8,5
rakennusinsinööri,civil engineer,0,0,1,4,0,4
röntgenhoitaja,radiographer,0,0,1,,0,4
stuertti,steward,0,0,0,,5,4
tarjoilijatar,barmaid,0,0,0,,8,6
työkaluviilari,työkaluviilari ??,,,,,6,
valimotyöntekijä,foundry worker,0,1,0,,6,6
veistonopettaja,veistonopettaja ??,,,,,0,
virkailija,official ??,,0,,,1,4
ylirajajääkäri,ylirajajääkäri ??,,,,,0,
muovityöntekijä,plastic employee,0,,0,,6,6
nuohoojamestari,master chimney sweep,0,1,0,5,8,5
opiskelija,student,0,0,1,6,,
pintakäsittelijä,surface treatment,0,,0,,6,
tehdastyöl,tehdastyöl ??,,,,,6,
vaunusiivooja,chambermaid trolley ??,,,,,8,6
alistaja,an oppressor ??,0,,,,6,
ammattikoulun opettaja,vocational school teacher,0,0,1,3,0,3
apulaisasemapäällikkö,apulaisasemapäällikkö ??,,,,,1,
apulaisverosihteeri,apulaisverosihteeri ??,,,,,1,
asemanhoitaja,station attendant,0,0,0,4,1,7
aseseppä,gunsmith,0,0,0,5,6,5
asuntolanhoitaja,dorm attendant,0,0,0,4,1,5
autohuoltomies,automotive service technician,0,0,0,5,6,5
autokoulun johtaja,driving school director,0,0,,3,1,3
baariemäntä,a bar hostess,0,0,0,5,8,6
diplomikauppias,Master of the merchant ??,0,0,,3,2,2
einestyöläinen,einestyöläinen ??,,,,,6,
evankelista,evangelist,0,0,,,0,4
haastemies,bailiff,0,0,0,4,0,4
hankintapäällikkö,Chief of admissions,0,0,1,3,2,2
harjatyöntekijä,brush employee,0,0,0,5,6,6
hollanterimies,hollanterimies ??,,,,,6,
hotelliapulainen,hotel assistant,0,0,0,5,8,6
huolitsija,Freight forwarder,0,0,0,5,5,5
huoltotarkastaja,maintenance inspector,0,0,,4,6,4
jäätelötyöntekijä,ice cream employee,0,0,0,5,2,5
järjestösihteeri,Organizational ??,,,,4,1,4
käärijä,wrapper ??,0,,0,5,6,6
kalastmaanviljelijä,kalastmaanviljelijä ??,,,,,3,
kanttiininhoitaja,kanttiininhoitaja ??,,,,,8,
karja n hoitaja,ranch's manager,1,0,,3,3,3
kellarimies,cellar man,0,,0,,6,6
kentänhoitaja,field manager,0,0,,3,6,3
kenttämestari,field champion ??,,0,,3,3,
koekäyttäjä,Sample user ??,,,,,6,
konerakennusteknikko,mechanical engineering technician,0,0,1,3,6,3
kuorma autoilija,truck driver,0,0,0,5,5,5
kustannuslaskija,cost accountant,0,0,1,2,1,2
lähetti,messenger,0,0,0,4,8,4
lastenkodin johtajatar,orphanage headmistress,0,0,1,4,1,3
lautatarhatyöntekijä,lumberyard worker,,1,0,5,6,6
liikeenharjoittaja,liikeenharjoittaja ??,,,,,2,
louhintaurakoitsija,mining contractor ??,0,,0,3,6,4
maalarin apulainen,painter helper,0,1,0,5,6,6
maalausurakoitsija,painting contractor,0,1,0,3,6,5
maanviljelijän vaimo,the farmer's wife,1,1,0,1,3,4
makeistyöläinen,confectionery worker,0,1,0,5,6,6
makkaramestari,sausage maker ??,0,1,0,5,6,6
metallihöylääjä,metallihöylääjä ??,,,,,6,
metallityönopettaja,metal work teacher,0,0,1,3,6,3
mittarimekaanikko,meter mechanic,0,0,0,4,6,5
mosaiikkimies,mosaic man,0,,0,,6,4
muovitarkastaja,plastic inspector,0,0,1,4,6,4
muovityöläinen,plastic worker,0,1,0,5,6,5
myllynomistaja,mill owner,0,0,,2,2,1
naulaaja,naulaaja ??,,,,,6,
näytteenottaja,sampler ??,0,,,,6,
ohentaja,thinner ??,0,,,,6,
paikallisjohtaja,local leader,0,0,,2,1,2
pesula apulainen,laundry helper,0,1,0,5,8,7
pesulatyöläinen,laundry worker,0,1,0,5,8,7
piirimies,circuit man,0,0,,4,1,5
pitokokki,hold cook,0,1,0,5,8,5
polttoainetyöntekijä,fuel employee,0,1,0,5,6,4
puistotyömies,park workman,,1,0,5,3,4
puristimenhoitaja,press nurse,0,0,1,4,6,3
pursimies evp,boatswain ret,0,1,,,8,4
puutavaraliikemies,timber businessman,1,0,,2,2,2
rak.mestari,rak.mestari ??,,,,,6,
rakennuspuuseppä,building carpenter,0,1,0,4,6,4
rappaaja,plasterer,0,1,0,5,6,5
rasvari,central lubrication,0,1,0,5,6,5
ratamies,railway man,0,0,0,5,5,4
reviisori,Reviisori ??,,,,,1,
Riihimäki,Riihimäki ??,,,,,,
santaaja,santaaja ??,,,,,6,
selluloosankeittäjä,cellulose cooker,0,1,0,5,6,4
sementtityöntekijä,cement worker,0,1,0,5,6,6
siltavartija,bridge guard,0,0,0,4,8,6
sitoja,binder,0,0,0,4,6,5
sosiaalitarkkailija,Social observer ??,0,,,,0,
sotainvalidi,disabled soldier,0,,,8,,
sotilaskodinhoitaja,military homemaker ??,,,,,8,
sulattomies,sulattomies ??,,,,,6,
suutarimestari,shoemaker,0,1,0,5,6,5
sylinterimies,cylinder man,0,1,0,5,6,5
talonmvahtimestari,talonmvahtimestari ??,,,,,8,
tasaaja,compensator,0,0,,,6,4
teknillinen johtaja,Technical Director,0,0,1,3,0,2
tiskaaja,dishwasher,0,1,0,5,8,6
tukkimies,log man,1,1,0,5,3,6
tukkityömies,log laborer,1,1,0,5,3,7
tuntiopettaja,time teacher,0,0,1,3,0,3
turkistyöntekijä,fur employee,0,0,,,3,5
tutkimusapulainen,research assistant,0,0,1,3,0,4
työnohjaaja,supervisor,0,0,,4,0,2
urakkahinnoittelija,urakkahinnoittelija ??,,,,,1,
uuninhoitaja,oven nurse ??,,,,,6,3
vaakaaja,vaakaaja ??,,,,,6,
vaakamestari,horizontal master ??,,,,,6,
välinehuoltoapulainen,equipment maintenance assistant,0,0,0,5,6,4
valkaisija,bleach ??,,,,,6,
varastokirjanpitäjä,inventory accountant,0,0,1,3,1,3
varastotyömies,warehouse laborer,0,1,0,5,5,6
vaununvoitelija,vaununvoitelija ??,,,,,5,
venyttäjä,venyttäjä ??,,,,,6,
verotarkastaja,tax inspector,0,0,1,3,1,3
virastotyöntekijä,Office worker,0,0,,5,1,4
kihlakunnantuomari,district judge,0,0,1,3,0,1
talousneuvos,economic Counselor,0,0,1,3,2,2
aluejohtaja,Regional Director,0,0,1,3,1,1
asianajaja,lawyer,0,0,1,3,0,1
eversti,colonel,0,0,1,3,8,1
geologi,geologist,0,0,1,2,0,1
kappalainen,chaplain,0,0,1,2,0,2
käyttöpäällikkö,Operations Manager,0,0,1,3,0,2
osastonjohtaja,manager,0,0,,3,1,2
piirieläinlääkäri,district veterinarian,0,0,1,3,0,1
rannikkolaivuri,for coast ??,0,,,,5,
työpäällikkö,Foreman,0,0,0,4,0,3
huoltoasentaja,service engineer,0,0,1,4,6,3
kenttäpäällikkö,field Manager,0,0,,3,6,3
kiinteistönhoitaja,property manager,0,0,,3,3,3
kirjanpainaja,printer,0,0,,3,6,3
konekorjaaja,machine repairman,0,1,0,5,6,5
lentokonemekaanikko,aircraft mechanic,0,1,,5,6,4
mallisuunnittelija,model designer,0,0,,,6,4
myyntiedustaja,salesman,0,0,0,4,2,3
rajajääkäri,border Jaeger ??,0,,,,8,
sähkötyömies,electrical worker,0,1,0,5,6,5
sähkötyönjohtaja,electrical foreman,0,0,,4,6,4
sähköurakoitsija,electrical Contractor,0,0,1,3,6,4
sosiaalihoitaja,Social nurse,0,0,1,3,0,3
tullivirkailija,customs officer,0,0,1,3,8,3
tuotantomies,production of man,,,,,6,
tuotantopäällikkö,Production Manager,0,0,,3,1,3
turkisleikkaaja,fur cutter ??,0,,,,6,
uuttaja,novel and ??,,,,,6,
varastoesimies,warehouse supervisor,0,0,0,4,5,3
värimestari,color master ??,,,,,6,
veturiasentaja,locomotive fitter,0,1,0,5,5,4
vuokraaja,lessee ??,,,,,,
kaivinkoneen kuljettaja,excavator driver,0,0,0,,5,5
kersantti,sergeant,0,0,0,,8,4
liikeapul,sales assista,0,,,4,2,5
metsänvartija,forest ranger,1,0,,5,3,4
myyntisihteeri,sales Secretary,0,0,0,4,2,4
rautatietyöläinen,railway worker,0,0,0,5,5,4
tehtaan työläinen,factory worker,0,1,0,5,6,5
tiehöylän kuljettaja,grader driver,0,0,0,,5,5
työntutkija,the work of researcher,0,0,1,2,0,3
ulosottoapulainen,exekutionsbiträdet ??,,,,,,
vanerityöläinen,plywood worker,0,1,0,5,6,3
aluesihteeri,Regional secretary,0,0,,3,1,3
apteekkiapulainen,pharmacy assistant,0,0,,4,0,4
apul,apul ??,,,,,8,
aputyönjohtaja,aputyönjohtaja ??,,,,,0,
asessori,assessor,0,0,1,4,0,3
aseteknikko,aseteknikko ??,,,,,6,
autokoulun omistaja,driving school owner,0,0,,2,2,2
auton apumies,car helper,0,,,5,5,7
auton kuljettaja,car driver,0,,,5,5,6
diplomi kauppias,Master of the merchant ??,,,,,2,2
elokuvakoneenhoitaja,film machine operator,,,,,8,4
ennakontarkastaja,advance inspector,,,,4,,3
fil.maistlehtori,fil.maistlehtori ??,,,,,0,
hakkurinhoitaja,chipper nurse,,,,4,3,
happomies,acid man ??,,,,,6,
harjantekijä,crest factor,,,,,6,
hissinkuljettaja,lift driver,,,,5,5,
huoltoaseman esimies,the service station manager,,,,4,2,
huoltoaseman omistaja,petrol station owner,,,,2,2,
huoltosihteeri,Secretary service,,,,5,1,
jalkinemestari,footwear champion,,,,5,6,
jalokivihioja,jalokivihioja ??,,,,,6,
jaostonhoitaja,Chamber manager,,,,3,,
johtomestari,management master,,,,3,,
juustonhoitaja,cheese nurse,,,,4,6,
kaivinkoneurakoitsija,excavator Contractor,,,,4,5,
kalustonhoitaja,equipment manager,,,,4,6,
kankaankutoja,weavers,,,,5,6,
kärrääjä,kärrääjä ??,,,,,6,
kasaaja,stacker,,,,5,6,
käsikonekutoja,käsikonekutoja ??,,,,,6,
käsineompelija,käsineompelija ??,,,,,6,
käsinkaavaaja,käsinkaavaaja ??,,,,,6,
käsityönohjaaja,crafts instructor,,,,3,0,
kasööri,kasööri ??,,,,,2,
kattilanhoitaja,boiler attendant,,,,5,6,
kehystäjä,framer,,,,,6,
keittolan emäntä,keittolan hostess,,,,,8,
keskusvarastonhoitaja,the central attendant,,,,,6,
kihlakunnan tuomari,district judge,,,,3,0,
kioskiapulainen,kiosk assistant,,,,,2,
kioskimyyjä,kiosk seller,,,,,2,
kirvesmmaanviljelijä,kirvesmmaanviljelijä,,,,,3,
komentaja,commander,,,,3,8,
kondiittorimestari,pastry chef,,,,,6,
koneenkokooja,koneenkokooja,,,,,6,
koneporaaja,koneporaaja,,,,,6,
konttorin esimies,office supervisor,,,,3,1,
korityöntekijä,basket employee,,,,4,6,
korjaamon päällikkö,Head of the workshop,,,,3,6,
kotelotyöntekijä,case worker,,,,4,6,
kuivaaja,dryer,,,,,6,
kullanhioja,kullanhioja,,,,,6,
kumikorjaaja,rubber correctors,,,,5,6,
kunnantyöntekijä,municipal employee,,,,4,8,
kuorija,peeler,,,,5,6,
kutomotyöläinen,kutomotyöläinen,,,,,6,
lääkintävoimistelija,physiotherapist,,,,4,0,
lakankeittäjä,stopped the cook,,,,,6,
lasinhioja,glass grinder,,,,5,6,
lastausesimies,loading supervisor,,,,4,6,
lastenkodinjohtaja,director of children's home,,,,3,1,
lausuntataiteilija,lausuntataiteilija,,,,,0,
lehtiasiamies,Journal agent,,,1,3,2,
liikennepäällikkö,traffic Manager,,,0,3,0,
liikennetyöntekijä,transport worker,,,0,5,5,
liiketyöläinen,business worker,,,,4,2,
loimaaja,loimaaja,,,,,6,
lossinhoitaja,ferry attendant,,,0,5,5,
maanv,maanv,,,,,3,
maanviljelkauppias,maanviljelkauppias,,,,,3,
maanviljelmuurari,maanviljelmuurari,,,,,3,
maataloustyöntekijä,agricultural worker,1,,,5,3,
maidonkatsastaja,maidonkatsastaja,,,,,6,
manviljelijä,manviljelijä,,,,,3,
matkapuhuja,mobile speaker,,,,,,
matkasihteeri,Secretary of travel,,,,3,1,
mittariteknikko,meter technician,,,,,6,
Multia,Multia,,,,,,
muovailija,modeller,,,,,6,
myllytyöläinen,mill worker,,,0,5,6,
myymäläntarkastaja,shop inspector,,,,4,2,
myyntineuvoja,selling advice,,,,3,2,
myyntityöneuvoja,selling advice,,,,3,2,
nahkatyöläinen,leather worker,,,,5,6,
näyttelijätär,actress,,,,,0,
niklaaja,niklaaja,,,,,6,
nitoja,stapler,,,,,6,
nitraaja,nitrators,,,,,6,
notaari,notary,,,1,4,0,
"o,Kurouva","No, Kurouva",,,,,,
"o,Rrouva","No, Rrouva",,,,,,
ohjaamomies,cab man,,,,5,6,
ohjaamopäivystäjä,cab dispatcher,,,,5,6,
oikolukija,proofreader,,,1,4,0,
oikovetäjä,oikovetäjä,,,,,6,
osastonhoit,osastonhoit,,,,,0,
pedikyristi,pedicurist,,,,5,8,
pianisti,pianist,,,,2,0,
piiriasiamies,district attorney,,,,3,0,
