name,region,stemmedName,extractedName,latitude,longitude,addedByKaira
Kaster,,kaster,Kaster,,,
Kastula,other,kastul,Kastula,,,
Kasurila,other,kasuril,Kasurila,63.05078,27.67912,
Kasvattipojat,,kasvattipo,Kasvattipojat,,,
kasvattitytär,,kasvattitytär,kasvattitytär,,,
Katajaluoto,other,katajaluoto,Katajaluoto,,,
Katajamäki,karelia,katajamäk,Katajamäki,,,
Katajanokka,other,katajanok,Katajanokka,60.16587,24.97133,
Katajisto,other,katajisto,Katajisto,,,
Katari,other,katar,Katari,,,
Kathula,other,kathul,Kathula,,,
Katila,other,katil,Katila,62.80759,22.76026,
Kätkänjoki,other,kätkänjok,Kätkänjoki,62.69567,23.65756,
Katku,,katku,Katku,,,
Katri,other,katr,Katri,,,
Katrineholm,other,katrineholm,Katrineholm,,,
Kattelus,other,kattelus,Kattelus,62.47702,23.76767,
Kattilajärvi,other,kattilajärv,Kattilajärvi,,,
Kattilaoja,karelia,kattilao,Kattilaoja,,,
Kattula,other,kattul,Kattula,,,
Kau,,kau,Kau,,,
Kauhajärvi,other,kauhajärv,Kauhajärvi,62.21859,22.29714,
Kauhajoen,other,kauhajoe,Kauhajoen,62.33333,22.25,
Kauhajoki,other,kauhajok,Kauhajoki,62.43333,22.18333,
Kauhajokias,other,kauhajokias,Kauhajokias,,,
Kauhajokikk,other,kauhajokik,Kauhajokikk,,,
Kauhanoja,other,kauhano,Kauhanoja,60.82644,23.14847,
Kauhava,other,kauhav,Kauhavalla,,,
Kauhavaas,other,kauhavaas,Kauhavaas,,,
Kauhavakk,other,kauhavak,Kauhavakk,,,
Kauhavamlk,other,kauhavamlk,Kauhavamlk,,,
Kauhiranta,other,kauhiran,Kauhiranta,,,
Kauhva,other,kauhv,Kauhva,,,
Kauk,,kauk,Kauk,,,
Kauklempäälässä,,kauklempääl,Kauklempäälässä,,,
Kaukaa,other,kauka,Kaukaa,61.06593,28.23126,
Kaukas,other,kaukas,Kaukas,61.06593,28.23126,
Kaukajärvi,other,kaukajärv,Kaukajärvi,61.46752,23.88493,
Kaukiala,karelia,kaukial,Kaukiala,60.55,28.15,
Kaukasniemi,other,kaukasniem,Kaukasniemi,,,
Kaukela,other,kaukel,Kaukela,61.40025,25.13769,
Kaukila,karelia,kaukil,Kaukila,60.69209,29.41761,
Kaukjär,,kaukjär,Kaukjär,,,
Kauklahdessavv,other,kauklahdessav,Kauklahdessavv,,,
Kauklahti,other,kauklaht,Kauklahti,60.19274,24.60045,
Kauklaistenkylä,other,kauklaistenkyl,Kauklaistenkylä,,,
Kaukolla,other,kauko,Kaukolla,,,
Kauko la,,kauko l,Kauko la,,,
Kaukofä,karelia,kaukof,Kaukofä,,,
Kaukola Emännän ensimmäisestä avioliitosta,,kaukola emännän ensimmäisestä avioliito,Kaukola Emännän ensimmäisestä avioliitosta,,,
Kaukola-,karelia,kaukola-,Kaukola-,,,
Kaukolaas,karelia,kaukolaas,Kaukolaas,,,
Kaukolakk,karelia,kaukolak,Kaukolakk,,,
Kaukolankyla,karelia,kaukolankyl,Kaukolankyla,,,
KaukolassaPuol,,kaukolassapuol,KaukolassaPuol,,,
Kaukolernpeelä,karelia,kaukolernpeel,Kaukolernpeelä,,,
Kaukonenostiv,other,kaukonenostiv,Kaukonenostiv,,,
Kaukopää,karelia,kaukop,Kaukopää,,,
Kaulinranta,other,kaulinran,Kaulinranta,,,
Kauliranta,other,kauliran,Kauliranta,66.456,23.68713,
Kaulirantaas,other,kaulirantaas,Kaulirantaas,,,
Kaunainen,other,kaunain,Kaunainen,,,
Kaunava,other,kaunav,Kaunava,,,
Kaunela,other,kaunel,Kaunela,60.63333,22.95,
Kauniainen,other,kauniain,Kauniainen,60.20976,24.72801,
Kauniaistenkylä,other,kauniaistenkyl,Kauniaistenkylä,,,
Kaunisharju,other,kaunisharju,Kaunisharju,63.3,26.95,
Kaunislahti,other,kaunislaht,Kaunislahti,,,
Kaunismäki,other,kaunismäk,Kaunismäki,60.65,25.30261,
Kaunispää,other,kaunisp,Kaunispää,68.43333,27.45,
Kaunissaari,other,kaunissaar,Kaunissaari,61.02198,21.39366,
Kaunistossa,other,kaunisto,Kaunistossa,,,
Kaunkorpi,other,kaunkorp,Kaunkorpi,61.03531,25.23425,
Kaunola,other,kaunol,Kaunola,,,
Kaunoselällä,,kaunosel,Kaunoselällä,,,
Kauppakoulu,other,kauppakoulu,Kauppakoulu,,,
Kauppala,other,kauppal,Kauppala,64.01667,28.55,
Kauppila,other,kauppil,Kauppila,65.65,24.71667,
Kauppilanmäellä,,kauppilanmäe,Kauppilanmäellä,,,
Kauppitanmäki,other,kauppitanmäk,Kauppitanmäki,,,
Kauppola,other,kauppol,Kauppola,,,
Kauraketo,other,kauraketo,Kauraketo,,,
Kauravaara,other,kauravaar,Kauravaara,,,
Kaurila,karelia,kauril,Kaurila,,,
Kaurilankylä,other,kaurilankyl,Kaurilankylä,,,
Kauru,karelia,kauru,Kauru,,,
Kausaia,other,kausaia,Kausaia,,,
Kausala,karelia,kausal,Kausala,,,
Kausalaas,other,kausalaas,Kausalaas,,,
Kausalakk,other,kausalak,Kausalakk,,,
Kausela,other,kausel,Kausela,60.46395,22.36027,
Kauselansaha,other,kauselansah,Kauselansaha,,,
Kausti,,kaust,Kausti,,,
Kaustinen,other,kaustin,Kaustinen,,,
Kaustinenkk,other,kaustinenk,Kaustinenkk,,,
Kautti,other,kaut,Kautti,,,
Kautsa,other,kauts,Kautsa,,,
Kauttua,other,kautu,Kauttua,61.11296,22.15358,
KauvaLsa,other,kauvals,KauvaLsa,,,
Kauvaskylä,other,kauvaskyl,Kauvaskylä,,,
Kauvatsa,other,kauvats,Kauvatsa,61.33721,22.50307,
Kauvatsaas,other,kauvatsaas,Kauvatsaas,,,
Kauvatsags,other,kauvatsags,Kauvatsags,,,
Kauvatsakk,other,kauvatsak,Kauvatsakk,,,
Kauvatsala,other,kauvatsal,Kauvatsala,,,
Kauvatsankylä,other,kauvatsankyl,Kauvatsankylä,,,
Kauvotsa,other,kauvots,Kauvotsa,,,
Kavalo,other,kavalo,Kavalo,,,
Kavantjärvi,karelia,kavantjärv,Kavantjärvi,,,
Kavantsaari,karelia,kavantsaar,Kavantsaari,60.86244,28.96045,
kävi,other,kävi,kävi,,,
käynyt,karelia,käyny,käynyt,,,
Kdorevesi,other,kdorev,Kdorevesi,,,
Kdt-ka,,kdt-ka,Kdt-ka,,,
KdTikka,other,kdtik,KdTikka,,,
Ke,,ke,Ke,,,
Ke mi,,ke m,Ke mi,64,54,
Ke mijärvi,,ke mijärv,Ke mijärvi,,,
KeBrina,,kebr,KeBrina,,,
Kehrä,other,kehr,Kehrä,,,
Kehrala,other,kehral,Kehrala,,,
Kehro,other,kehro,Kehro,61.19236,23.50354,
Keihäsjärvi,other,keihäsjärv,Keihäsjärvi,,,
Keiholampi,karelia,keihol,Keiholampi,61.13027,29.87157,
Keijo,other,keijo,Keijo,,,
Keikka,other,keik,Keikka,,,
Keikyä,other,keiky,Keikyä,,,
Keikyäas,other,keikyäas,Keikyäas,,,
Keikyäasema,other,keikyäasem,Keikyäasema,,,
Keikyäkk,other,keikyäk,Keikyäkk,,,
Keikylä,other,keikyl,Keikylä,,,
Keimola,other,keimol,Keimola,60.33833,24.8164,
Keinmäki,other,keinmäk,Keinmäki,,,
Keitele,karelia,keitel,Keitele,,,
Keitelekk,other,keitelek,Keitelekk,,,
Keitelepohja,other,keitelepohj,Keitelepohja,63.20249,25.55746,
Keitto,karelia,keito,Keitto,,,
Keittäjä,other,keittäj,Keittäjä,,,
Kekäleetasuvat,other,kekäleetasuv,Kekäleetasuvat,,,
Kekijärvi,other,kekijärv,Kekijärvi,,,
Kekiola,karelia,kekiol,Kekiola,,,
Kekkilä,karelia,kekkil,Kekkilä,,,
Kekkonen,other,kekkon,Kekkonen,61.8559,24.01779,
Kekrinlahti,karelia,kekrinlaht,Kekrinlahti,,,
Kelhä,other,kelh,Kelhä,61.86432,25.18044,
Kelho,other,kelho,Kelho,61.27609,23.85201,
Keljankylä,karelia,keljankyl,Keljankylä,,,
Keljonkangas,other,keljonkangas,Keljonkangas,62.19258,25.7147,
Kelkkaja,karelia,kelkkaj,Kelkkaja,,,
Kelkkala,karelia,kelkkal,Kelkkala,,,
Kellahti,other,kellaht,Kellahti,61.60156,21.725,
Kellikoski,other,kellikosk,Kellikoski,,,
Kellokoski,other,kellokosk,Kellokoski,60.53271,25.10917,
Kellolahti,other,kellolaht,Kellolahti,63.08333,28.41667,
Kellomäki,karelia,kellomäk,Kellomäki,,,
Kellopelto,other,kellopelto,Kellopelto,,,
Kellosalmi,karelia,kellosalm,Kellosalmi,,,
Kello,other,kelo,Kellossa,,,
Keltakangas,other,keltakangas,Keltakangas,60.74714,26.82972,
Keltaniemi,other,keltaniem,Keltaniemi,61.20924,25.79323,
Kelto,other,kelto,Kelto,,,
Kelttu,karelia,keltu,Kelttu,,,
Kelvä,other,kelv,Kelvä,63.07697,30.09211,
Kelvola,other,kelvol,Kelvola,,,
Kemi,other,kemi,Kemi,,,
Kemi-,other,kemi-,Kemi-,65.94914,24.75035,
Kemie,other,kemie,Kemie,62.22484,30.34385,
Kemijär,,kemijär,Kemijär,,,
Kemijärveilä,,kemijärveil,Kemijärveilä,,,
Kemijärvenmlk,other,kemijärvenmlk,Kemijärvenmlk,,,
Kemijärvias,other,kemijärvias,Kemijärvias,,,
Kemijärvikk,other,kemijärvik,Kemijärvikk,,,
Kemijoki,other,kemijok,Kemijoki,,,
Kemikk,other,kemik,Kemikk,,,
Kemimäellä,,kemimäe,Kemimäellä,,,
Kemimlk,other,kemimlk,Kemimlk,,,
Kemin mlk,,kemin mlk,Kemin mlk,,,
Keminmlk-,other,keminmlk-,Keminmlk-,,,
Kemiö,other,kemiö,Kemiö,60.16047,22.729,
Kemiökk,other,kemiök,Kemiökk,,,
Kemiönsaari,other,kemiönsaar,Kemiönsaari,60.16711,22.72711,
Keml,other,keml,Keml,,,
Kempele,karelia,kempel,Kempele,,,
Kempelekk,other,kempelek,Kempelekk,,,
Kemppilä,karelia,kemppil,Kemppilä,,,
Kemppisilläon,other,kemppisiläo,Kemppisilläon,,,
Kenjärvellä,,kenjärv,Kenjärvellä,,,
Kenraalinkylä,other,kenraalinkyl,Kenraalinkylä,62.29943,30.70408,
Kenttäjärvellä,,kenttäjärv,Kenttäjärvellä,,,
Kepola,other,kepol,Kepola,61.11608,22.31725,
Keppiläkk,other,keppiläk,Keppiläkk,,,
Keppola,karelia,keppol,Keppola,,,
Kerni,other,ker,Kerni,,,
Keräjärvi,other,keräjärv,Keräjärvi,,,
Kerava,other,kerav,Kerava,60.39565,25.11754,
Keravala,other,keraval,Keravala,,,
Kereli,other,kerel,Kereli,,,
Kerhula,other,kerhul,Kerhula,,,
Keri,,keri,Keri,,,
Kerijoki,,kerijok,Kerijoki,,,
Kerimäki,karelia,kerimäk,Kerimäki,,,
Kerimäkikk,other,kerimäkik,Kerimäkikk,,,
Kerisalo,other,kerisalo,Kerisalo,62.10122,27.96337,
Kerinsyrjä,karelia,kerinsyrj,Kerinsyrjä,,,
Keripata,karelia,kerip,Keripata,,,
KerisaloTampere,other,kerisalotamper,KerisaloTampere,,,
Kerkkocr,other,kerkkocr,Kerkkocr,,,
Kerkola,other,kerkol,Kerkola,60.60432,23.2834,
Kerkkoo,other,kerko,Kerkkoossa,,,
Kerkonjoensuu,other,kerkonjoensu,Kerkonjoensuu,62.76667,26.68333,
Kerkonkoski,other,kerkonkosk,Kerkonkoski,62.76013,26.68694,
Kerkku,other,kerku,Kerkku,,,
Kernaala,other,kernaal,Kernaala,,,
Kerninmlk,other,kerninmlk,Kerninmlk,,,
Kerpijärvellä,,kerpijärv,Kerpijärvellä,,,
Kerppila,karelia,kerppil,Kerppila,,,
Kerrfiö,other,kerrfiö,Kerrfiö,,,
Kerttula,other,kerttul,Kerttula,60.49427,22.16002,
Kerttu,other,kertu,Kerttu,,,
Keruu,other,keru,Keruu,,,
Keruruu,other,keruru,Keruruu,,,
Keruuu,other,keruu,Keruuu,,,
Kerva,other,kerv,Kerva,,,
Kesät,other,kesä,Kesät,,,
Kesala,,kesal,Kesala,,,
Kesäl,,kesäl,Kesäl,,,
Kesälah,,kesälah,Kesälah,,,
Kesälah ti,,kesälah t,Kesälah ti,,,
Kesälahdelia,,kesälahdel,Kesälahdelia,,,
Kesalahti,other,kesalaht,Kesalahti,,,
Kesälahti-,other,kesälahti-,Kesälahti-,,,
Kesälahtikk,karelia,kesälahtik,Kesälahtikk,,,
Kesämäki,other,kesämäk,Kesämäki,63.04347,28.11703,
kesätvuosina,karelia,kesätvuos,kesätvuosina,,,
Keski,other,kesk,Keski,62.5,25.5,
KeskhPalokka,other,keskhpalok,KeskhPalokka,,,
Keski-Häme,other,keski-häm,Keski-Häme,,,
Keski-Palokka,other,keski-palok,Keski-Palokka,62.29012,25.72586,
Keski-Pohjanmaa,other,keski-pohjanm,Keski-Pohjanmaa,63.58333,24.08333,
Keski-Suomi,other,keski-suom,Keski-Suomi,62.5,25.5,
Keski-Töölö,other,keski-töölö,Keski-Töölö,,,
Keskikylä,karelia,keskikyl,Keskikylä,,,
Keskinen,other,keskin,Keskinen,64.6234,29.48542,
Keskipalukka,other,keskipaluk,Keskipalukka,,,
Keskisaari,karelia,keskisaar,Keskisaari,60.43333,28.48333,
Keskisenpää,other,keskisenp,Keskisenpää,,,
keskusta,other,kesku,keskusta,61.49784,23.7609,
Keso,other,keso,Keso,61.08196,24.6524,
Kesola,other,kesol,Kesola,61.3,23.65,
Kesti,,kest,Kesti,62.63667,21.88295,
Kestifä,other,kestif,Kestifä,,,
Kestilä,other,kestil,Kestilä,64.35002,26.27921,
Kestiläkk,other,kestiläk,Kestiläkk,,,
Kestilänkylä,other,kestilänkyl,Kestilänkylä,,,
Kettula,other,kettul,Kettula,65.35,27.31667,
Kettunen,other,kettun,Kettunen,,,
Ketunkallio,other,ketunkalio,Ketunkallio,,,
Keu,,keu,Keu,,,
Keu ruu,,keu ru,Keu ruu,,,
Keuruu,other,keuru,Keuruulla,,,
Keuruu-,other,keuruu-,Keuruu-,,,
Keuruuas,other,keuruuas,Keuruuas,,,
Keuruukk,other,keuruuk,Keuruukk,,,
Keuruul,,keuruul,Keuruul,,,
Kevola,other,kevol,Kevola,,,
Kgkisalmi,karelia,kgkisalm,Kgkisalmi,,,
Kgurila,other,kguril,Kgurila,,,
Ki,,ki,Ki,,,
Ki-vennapa,,ki-ven,Ki-vennapa,,,
Kiekilänkylä,other,kiekilänkyl,Kiekilänkylä,,,
Kiekuankylä,karelia,kiekuankyl,Kiekuankylä,,,
Kielajoki,other,kielajok,Kielajoki,,,
Kieli,,kieli,Kieli,,,
Kiennapa,karelia,kien,Kiennapa,,,
Kieriä,other,kier,Kieriä,,,
Kierämä,other,kieräm,Kierämä,,,
Kierlahti,other,kierlaht,Kierlahti,,,
Kiesimä,other,kiesim,Kiesimä,62.78843,26.52074,
Kiestinki,karelia,kiestink,Kiestinki,,,
Kiesvaara,other,kiesvaar,Kiesvaara,62.27837,29.82989,
Kih niö,,kih niö,Kih niö,,,
Kihmiö,other,kihmiö,Kihmiö,,,
Kihniö,other,kihniö,Kihniö,62.20643,23.19988,
Kihniöas,other,kihniöas,Kihniöas,,,
Kiiee,other,kiiee,Kiiee,,,
Kiihtelys,,kiihtelys,Kiihtelys,,,
Kiihtelysvaara,karelia,kiihtelysvaar,Kiihtelysvaara,,,
Kiikka,karelia,kiik,Kiikka,,,
Kiika,other,kiika,Kiika,,,
Kiikainen,other,kiikain,Kiikainen,,,
Kiikala,other,kiikal,Kiikala,60.46667,23.56667,
Kiikalakk,other,kiikalak,Kiikalakk,,,
Kiikka-,other,kiikka-,Kiikka-,,,
Kiikkaas,other,kiikkaas,Kiikkaas,,,
Kiikkakk,other,kiikkak,Kiikkakk,,,
Kiikkalakk,other,kiikkalak,Kiikkalakk,,,
Kiikoinen,other,kiikoin,Kiikoinen,61.45385,22.57699,
Kiikoi,other,kiikoi,Kiikoi,,,
Kiikoinen-,other,kiikoinen-,Kiikoinen-,,,
Kiikoinenkk,other,kiikoinenk,Kiikoinenkk,,,
Kiikola,other,kiikol,Kiikola,,,
Kiila,other,kiila,Kiila,60.25,22.88333,
Kiimasjärvi,karelia,kiimasjärv,Kiimasjärvi,64.37653,31.22829,
Kiiminki,other,kiimink,Kiiminki,65.16667,25.83333,
Kiina,other,kiina,Kiinassa,,,
Kiinimen,karelia,kiinim,Kiinimen,,,
Kiiolemajärvi,karelia,kiiolemajärv,Kiiolemajärvi,,,
Kiipu,other,kiipu,Kiipu,60.84319,23.41237,
Kiipula,other,kiipul,Kiipula,60.8922,24.71294,
Kiiruna,other,kiiru,Kiiruna,,,
Kiirunavaarassa,,kiirunavaar,Kiirunavaarassa,,,
Kiiskilä,karelia,kiiskil,Kiiskilä,59.78811,30.22021,
Kiiskilahti,karelia,kiiskilaht,Kiiskilahti,60.55,27.83333,
Kiiskiläja,karelia,kiiskiläj,Kiiskiläja,,,
Kiiskisenkylä,karelia,kiiskisenkyl,Kiiskisenkylä,,,
Kiislahti,karelia,kiislaht,Kiislahti,61.66992,30.63469,
Kikka,other,kik,Kikka,,,
kikkeli,,kikkel,kikkeli,,,
Kiljaa,other,kilj,Kiljaa,,,
Kiljava,other,kiljav,Kiljava,60.5045,24.68988,
Kilkka,other,kilk,Kilkka,,,
Kilkalo,other,kilkalo,Kilkalo,,,
Kilkinkylä,other,kilkinkyl,Kilkinkylä,61.58999,26.80109,
Killala,other,killal,Killala,60.56667,22.68333,
Killinkoski,other,killinkosk,Killinkoski,62.39926,23.89013,
Kilo,other,kilo,Kilo,60.21746,24.78151,
Kiloinen,other,kiloin,Kiloinen,,,
Kilovaara,karelia,kilovaar,Kilovaara,,,
Kilpala,other,kilpal,Kilpala,,,
Kilpeenjoki,karelia,kilpeenjok,Kilpeenjoki,60.87232,28.80509,
Kilpeenmäki,karelia,kilpeenmäk,Kilpeenmäki,,,
Kilpeinjoki,karelia,kilpeinjok,Kilpeinjoki,,,
Kilpijärvi,karelia,kilpijärv,Kilpijärvi,,,
Kilpijoki,other,kilpijok,Kilpijoki,61.29038,22.75727,
Kilpiösaari,other,kilpiösaar,Kilpiösaari,,,
Kilpola,karelia,kilpol,Kilpola,,,
Kilpulausaari,karelia,kilpulausaar,Kilpulausaari,,,
Kiltee,karelia,kilt,Kiltee,,,
Kilvakkala,other,kilvakkal,Kilvakkala,61.75894,23.0015,
Kimola,other,kimol,Kimola,61.03362,26.3366,
Kimonkylä,other,kimonkyl,Kimonkylä,60.70663,26.30438,
Kinni,other,kin,Kinni,61.30547,26.93106,
Kinkomaa,other,kinkom,Kinkomaa,,,
Kinnala,other,kinnal,Kinnala,61.33105,22.75236,
Kinnartammi,other,kinnart,Kinnartammi,,,
Kinnula,other,kinnul,Kinnula,,,
Kinnulakk,other,kinnulak,Kinnulakk,,,
Kintaa,other,kint,Kintaa,,,
Kintaus,other,kintaus,Kintaus,62.35,25.35,
Kintere,karelia,kinter,Kintere,,,
Kinthaara,other,kinthaar,Kinthaara,,,
Kioretissä,,kioret,Kioretissä,,,
Kiova,other,kiova,Kiova,,,
Kipinola,karelia,kipinol,Kipinola,60.31667,28.9,
Kiqvu,karelia,kiqvu,Kiqvu,,,
Kir,,kir,Kir,54.76667,54.13333,
Kirjala,other,kirjal,Kirjala,60.35665,22.34792,
Kirjaltaja,other,kirjaltaj,Kirjaltaja,,,
Kirjaus,other,kirjaus,Kirjaus,,,
Kirjavala,karelia,kirjaval,Kirjavala,,,
Kirjavalahti,karelia,kirjavalaht,Kirjavalahti,,,
Kirjokivi,other,kirjokiv,Kirjokivi,,,
Kirjola,karelia,kirjol,Kirjola,,,
Kirjola-,karelia,kirjola-,Kirjola-,,,
Kirkkojärvi,karelia,kirkkojärv,Kirkkojärvi,,,
Kirkkojoki,karelia,kirkkojok,Kirkkojoki,61.36811,31.82018,
Kirkkomaa,other,kirkkom,Kirkkomaa,,,
Kirkkoniemi,karelia,kirkkoniem,Kirkkoniemi,,,
Kirkkonummi,other,kirkkonu,Kirkkonummi,60.14698,24.45885,
Kirkkonummias,other,kirkkonummias,Kirkkonummias,,,
Kirkkonummikk,other,kirkkonummik,Kirkkonummikk,,,
Kirkkonunmi,other,kirkkonunm,Kirkkonunmi,,,
Kirkkosaari,other,kirkkosaar,Kirkkosaari,,,
Kirkniemi,other,kirkniem,Kirkniemi,60.18109,23.96144,
Kirkonmaa,other,kirkonm,Kirkonmaa,,,
Kirkonmaansaari,other,kirkonmaansaar,Kirkonmaansaari,,,
Kirsti,other,kirst,Kirsti,,,
Kirstula,other,kirstul,Kirstula,,,
Kiruna,other,kiru,Kiruna,,,
Kiruvesi,other,kiruv,Kiruvesi,,,
Kiruvedellä,,kiruved,Kiruvedellä,,,
Kirves,other,kirves,Kirves,,,
Kirveskoski,other,kirveskosk,Kirveskoski,60.47704,25.38254,
Kirvesmies,other,kirvesmies,Kirvesmies,,,
Kirvo,other,kirvo,Kirvo,,,
Kirvu,karelia,kirvu,Kirvu,,,
Kirvu-,karelia,kirvu-,Kirvu-,,,
Kirvuas,karelia,kirvuas,Kirvuas,,,
Kirvukk,karelia,kirvuk,Kirvukk,,,
Kisakallio,other,kisakalio,Kisakallio,,,
Kiski,,kisk,Kiski,60.55,27.83333,
Kisko,other,kisko,Kisko,60.23333,23.48333,
Kiskokk,other,kiskok,Kiskokk,,,
Kiskonkylä,other,kiskonkyl,Kiskonkylä,,,
Kislm,other,kislm,Kislm,,,
Kissakoski,other,kissakosk,Kissakoski,61.6225,26.75675,
Kissanmaa,other,kissanm,Kissanmaa,61.49976,23.81612,
Kit,,kit,Kit,,,
Kitaa,karelia,kita,Kitaa,,,
Kitalahti,other,kitalaht,Kitalahti,,,
Kitee,karelia,kite,Kitee,,,
Kiteekk,karelia,kiteek,Kiteekk,,,
Kiteeliä,,kiteel,Kiteeliä,,,
Kiteenlahti,other,kiteenlaht,Kiteenlahti,62.06807,30.25814,
Kitelä,karelia,kitel,Kitelä,61.68043,31.33678,
Kitelänkylä,karelia,kitelänkyl,Kitelänkylä,,,
Kitilä,karelia,kitil,Kitilä,61.68043,31.33678,
Kitinoja,other,kitino,Kitinoja,62.91595,22.80174,
Kitka,other,kitk,Kitka,66.24272,28.97974,
Kitsunvaara,karelia,kitsunvaar,Kitsunvaara,62.16863,31.10968,
Kittilä,karelia,kittil,Kittilä,,,
Kittiläkk,other,kittiläk,Kittiläkk,,,
Kitu,other,kitu,Kitu,60.96667,24.6,
Kitula,other,kitul,Kitula,62.66667,23.85,
Kiugomakoski,other,kiugomakosk,Kiugomakoski,,,
Kiukka,other,kiuk,Kiukka,,,
Kiukai-,other,kiukai-,Kiukai-,,,
Kiukainen,karelia,kiukain,Kiukainen,,,
Kiukainenkk,other,kiukainenk,Kiukainenkk,,,
Kiukas,other,kiukas,Kiukas,,,
Kiukoinen,other,kiukoin,Kiukoinen,,,
Kiuri,other,kiuri,Kiuri,,,
Kiuru,karelia,kiuru,Kiuru,,,
Kiuru-vesi,,kiuru-v,Kiuru-vesi,,,
Kiurula,karelia,kiurul,Kiurula,,,
Kiuruniemi,other,kiuruniem,Kiuruniemi,,,
Kiuruonkäynyt,other,kiuruonkäyny,Kiuruonkäynyt,,,
Kiuruve si,,kiuruve ,Kiuruve si,,,
Kiuruvesikk,other,kiuruvesik,Kiuruvesikk,,,
Kiuvuvesi,other,kiuvuv,Kiuvuvesi,,,
Kiv,,kiv,Kiv,,,
Kivannapa,karelia,kivan,Kivannapa,,,
Kivenapa,karelia,kive,Kive,,,
Kivelä,karelia,kivel,Kivelä,,,
Kivennapa,karelia,kiven,Kivennapa,,,
Kiven napa,,kiven ,Kiven napa,,,
Kivennaoa,karelia,kivenaoa,Kivennaoa,,,
Kivennapa Syntynyt rouvan ensimmäisestä avioliitosta,,kivennapa syntynyt rouvan ensimmäisestä avioliito,Kivennapa Syntynyt rouvan ensimmäisestä avioliitosta,,,
Kivennapa-,karelia,kivennapa-,Kivennapa-,,,
Kivennapakk,karelia,kivennapak,Kivennapakk,,,
Kivennavalla,other,kivennav,Kivennavalla,,,
Kivennevalla,,kivennev,Kivennevalla,,,
Kivenoja,karelia,kiveno,Kivenoja,,,
Kivenpapa,karelia,kivenp,Kivenpapa,,,
Kivenranta,karelia,kivenran,Kivenranta,,,
Kivepr,,kivepr,Kivepr,,,
Kiverinäpa,karelia,kiver,Kiverinäpa,,,
Kivesiö,other,kivesiö,Kivesiö,,,
Kivesjärvias,other,kivesjärvias,Kivesjärvias,,,
Kivialho,other,kivialho,Kivialho,61.408,22.05108,
Kiviapaja,other,kiviapaj,Kiviapaja,61.69909,28.77209,
Kiviharju,other,kiviharju,Kiviharju,,,
Kivihuhta,other,kivihuh,Kivihuhta,63.19083,22.79553,
Kivijäivi,other,kivijäiv,Kivijäivi,,,
Kivijärvi,karelia,kivijärv,Kivijärvi,62.16667,31.96667,
Kivijärvikk,other,kivijärvik,Kivijärvikk,,,
Kivikylä,other,kivikyl,Kivikylä,64.34499,29.28332,
Kivilahti,karelia,kivilaht,Kivilahti,,,
Kivimäki,other,kivimäk,Kivimäki,60.28589,24.85479,
Kiviniemi,karelia,kiviniem,Kiviniemi,66.1,29.98333,
Kiviniemias,karelia,kiviniemias,Kiviniemias,,,
Kivioja,karelia,kivio,Kivioja,61.08652,28.90932,
Kivipuro,other,kivipuro,Kivipuro,,,
Kivirinne,other,kivir,Kivirinne,,,
Kiviranta,other,kiviran,Kiviranta,61.86667,24.03333,
Kivisaari,other,kivisaar,Kivisaari,61.02665,28.4539,
Kivisalo,other,kivisalo,Kivisalo,,,
Kivistö,karelia,kivistö,Kivistö,,,
Kivistönmäki,other,kivistönmäk,Kivistönmäki,,,
Kivitoke,karelia,kivitok,Kivitoke,60.56667,28.6,
Kivivuori,karelia,kivivuor,Kivivuori,,,
Kivonnapa,karelia,kivon,Kivonnapa,,,
Kizeellä,,kize,Kizeellä,,,
Kjuruvesi,other,kjuruv,Kjuruvesi,,,
kksotilaskoulua,other,kksotilaskoulu,kksotilaskoulua,,,
Klamila,other,klamil,Klamila,60.51368,27.47075,
Klannila,other,klannil,Klannila,,,
Klaukkala,other,klaukkal,Klaukkala,60.38244,24.751,
Klnkomaa,other,klnkoma,Klnkomaa,,,
KLrtJslahti,other,klrtjslaht,KLrtJslahti,,,
Knivistolla,,knivisto,Knivistolla,,,
Knnneljärvi,karelia,knnneljärv,Knnneljärvi,,,
Ko,,ko,Ko,,,
Kodiksami,other,kodiksam,Kodiksami,61.04695,21.95994,
Kodiksaminkylä,other,kodiksaminkyl,Kodiksaminkylä,,,
Kodisjoki,other,kodisjok,Kodisjoki,61.0293,21.70028,
Kohtiolahti,,kohtiolaht,Kohtiolahti,,,
Koi,,koi,Koi,,,
Koijarvi,other,koijarv,Koijarvi,,,
Koijärvi,other,koijärv,Koijärvi,60.93775,23.65184,
Koijärveilä,,koijärveil,Koijärveilä,,,
Koijärvias,other,koijärvias,Koijärvias,,,
Koijärvikk,other,koijärvik,Koijärvikk,,,
Koijätvi,other,koijätv,Koijätvi,,,
Koikjoki,other,koikjok,Koikjoki,,,
Koikkala,other,koikkal,Koikkala,61.71991,27.90742,
Koikontaipale,other,koikontaipal,Koikontaipale,,,
Koirakivi,other,koirakiv,Koirakivi,61.41667,26.56667,
Koirala,karelia,koiral,Koirala,60.56985,29.53863,
Koiralankylä,karelia,koiralankyl,Koiralankylä,,,
Koiramäki,other,koiramäk,Koiramäki,63.83333,27.08333,
Koirasetasuvat,other,koirasetasuv,Koirasetasuvat,,,
Koirinoja,karelia,koirino,Koirinoja,61.63919,31.4003,
